Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,132.039993,134.070007,122.250000,124.610001,123.873756,1711934900
2021-06-01,125.080002,137.410004,123.129997,136.960007,136.382065,1606590000
2021-07-01,136.600006,150.000000,135.759995,145.860001,145.244492,1919035100
2021-08-01,146.360001,153.490005,144.500000,151.830002,151.189301,1461542800
2021-09-01,152.830002,157.259995,141.270004,141.500000,141.113998,1797835100
2021-10-01,141.899994,153.169998,138.270004,149.800003,149.391357,1565079200
2021-11-01,148.990005,165.699997,147.479996,165.300003,164.849091,1691029000
2021-12-01,167.479996,182.130005,157.800003,177.570007,177.344055,2444766700
2022-01-01,177.830002,182.940002,154.699997,174.779999,174.557602,2108446000
2022-02-01,174.009995,176.649994,152.000000,165.119995,164.909897,1627516300
2022-03-01,164.699997,179.610001,150.100006,174.610001,174.610001,2180800100
2022-04-01,174.029999,178.490005,165.039993,165.289993,165.289993,769107700
2022-04-14,170.619995,171.270004,165.050003,165.289993,165.289993,75329376
